2026-01-17 10:36:37,940 - INFO - Connecting to 149.154.167.51:443/TcpFull...
2026-01-17 10:36:39,903 - INFO - Connection to 149.154.167.51:443/TcpFull complete!
2026-01-17 10:37:03,219 - INFO - Connecting to 149.154.167.51:443/TcpFull...
2026-01-17 10:37:03,322 - INFO - Connection to 149.154.167.51:443/TcpFull complete!
2026-01-17 10:37:13,108 - INFO - Phone migrated to 4
2026-01-17 10:37:13,234 - INFO - Reconnecting to new data center 4
2026-01-17 10:37:13,392 - INFO - Disconnecting from 149.154.167.51:443/TcpFull...
2026-01-17 10:37:13,393 - INFO - Disconnection from 149.154.167.51:443/TcpFull complete!
2026-01-17 10:37:13,393 - INFO - Connecting to 149.154.167.91:443/TcpFull...
2026-01-17 10:37:14,790 - INFO - Connection to 149.154.167.91:443/TcpFull complete!
2026-01-17 10:38:14,657 - INFO - Starting scrape for channel: lobelia4cosmetics
2026-01-17 10:38:42,833 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:38:43,030 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:38:43,222 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:38:43,685 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:38:44,110 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:38:44,259 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:38:44,695 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:38:44,865 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:38:45,071 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:38:45,537 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:38:46,000 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:38:46,406 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:38:46,638 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:38:47,074 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:38:47,211 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:38:47,596 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:38:48,017 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:38:48,300 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:38:48,686 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:38:49,079 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:38:49,219 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:38:49,451 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:38:49,604 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:38:50,761 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:38:51,122 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:38:51,597 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:38:51,774 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:38:52,248 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:38:52,530 - INFO - Saved 100 messages for tikvahpharma to data/raw/telegram_messages/2026-01-17/tikvahpharma.json
2026-01-17 10:38:52,530 - INFO - Starting scrape for channel: sCheMed123
2026-01-17 10:38:52,653 - ERROR - Error scraping sCheMed123: No user has "schemed123" as username
2026-01-17 10:38:52,653 - INFO - Disconnecting from 149.154.167.91:443/TcpFull...
2026-01-17 10:38:52,653 - INFO - Disconnection from 149.154.167.91:443/TcpFull complete!
2026-01-17 10:39:39,086 - INFO - Connecting to 149.154.167.91:443/TcpFull...
2026-01-17 10:39:39,189 - INFO - Connection to 149.154.167.91:443/TcpFull complete!
2026-01-17 10:39:39,874 - INFO - Starting scrape for channel: lobelia4cosmetics
2026-01-17 10:39:40,384 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:39:40,636 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:39:40,782 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:39:41,025 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:39:41,218 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:39:41,404 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:39:41,522 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:39:41,730 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:39:41,910 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:39:42,066 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:39:42,212 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:39:42,410 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:39:42,624 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:39:42,844 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:39:43,092 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:39:43,246 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:39:43,441 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
